Loc,Lat,Lon,Life expectancy
Moldova,47.0167,28.8497,71.198
Indonesia,-6.19752,106.83,71.146
Dominica,15.2976,-61.39,71.132
Greenland,64.1836,-51.7214,70.9724390243902
Cambodia,11.5556,104.874,70.668
Solomon Islands,-9.42676,159.949,70.528
Nepal,27.6939,85.3157,70.354
Guyana,6.80461,-58.1548,70.18
Turkmenistan,37.9509,58.3794,70.073
Philippines,14.5515,121.035,69.833
Sao Tome and Principe,0.20618,6.6071,69.718
Libya,32.8578,13.1072,69.339
"Yemen, Rep.",15.352,44.2075,69.295
Palau,7.34194,134.479,69.269
Botswana,-24.6544,25.9201,69.163
Lao PDR,18.5826,102.177,68.964
Senegal,14.7247,-17.4734,68.683
Eritrea,15.3315,38.9183,68.624
Bolivia,-13.9908,-66.1936,68.581
Mauritania,18.2367,-15.9824,68.484
Gabon,0.38832,9.45162,68.337
Uganda,0.314269,32.5729,68.252
Rwanda,-1.95325,30.0587,67.785
Timor-Leste,-8.56667,125.567,67.689
Pakistan,30.5167,72.8,67.649
Namibia,-22.5648,17.0931,67.385
Malawi,-13.9899,33.7703,67.353
Fiji,-18.1149,178.399,67.316
Ethiopia,9.02274,38.7468,67.315
"Micronesia, Fed. Sts.",6.91771,158.185,67.198
Tuvalu,-8.6314877,179.089567,67.105
Tanzania,-6.17486,35.7382,66.995
Marshall Islands,7.11046,171.135,66.945
Myanmar,21.914,95.9562,66.889
Comoros,-11.6986,43.2418,66.777
Kiribati,1.32905,172.979,66.473
Zambia,-15.3982,28.2937,66.349
Sudan,15.5932,32.5363,66.331
South Africa,-25.746,28.1871,66.139
Papua New Guinea,-9.47357,147.194,66.134
Afghanistan,34.5228,69.1761,66.035
Djibouti,11.5806,43.1425,65.987
"Gambia, The",13.4495,-16.5885,65.86
"Congo, Rep.",-4.2767,15.2662,65.772
Ghana,5.57045,-0.20795,65.498
West Bank and Gaza,31.9038,35.2034,65.17
Haiti,18.5392,-72.3288,64.936
Angola,-8.81155,13.242,64.617
Eswatini,-26.5225,31.4659,64.123
Guinea-Bissau,11.8037,-15.1804,64.085
Equatorial Guinea,3.7523,8.7741,63.707
Cameroon,3.8721,11.5174,63.7
Burundi,-3.3784,29.3639,63.651
Kenya,-1.27975,36.8126,63.646
Madagascar,-20.4667,45.7167,63.632
Mozambique,-25.9664,32.5713,63.611
Zimbabwe,-17.8312,31.0672,62.775
Togo,6.1228,1.2255,62.74
Liberia,6.30039,-10.7957,62.163
Nauru,-0.5477,166.920867,62.109
Cote d'Ivoire,5.332,-4.0305,61.944
"Congo, Dem. Rep.",-4.325,15.3222,61.895
Sierra Leone,8.4821,-13.2134,61.786
Niger,13.514,2.1073,61.183
Burkina Faso,12.3605,-1.53395,61.092
Benin,6.4779,2.6323,60.774
Guinea,9.51667,-13.7,60.74
Mali,13.5667,-7.50034,60.439
"Somalia, Fed. Rep.",2.07515,45.3254,58.816
South Sudan,4.85,31.6,57.617
Central African Republic,5.63056,21.6407,57.408
Lesotho,-29.5208,27.7167,57.375
Chad,12.1048,15.0445,55.069
Nigeria,9.05804,7.48906,54.462
