Loc,Lat,Lon,Arable land
Liberia,6.30039,-10.7957,5.19102990033223
Madagascar,-20.4667,45.7167,5.15641113784806
St. Vincent and the Grenadines,13.2035,-61.2653,5.12820512820513
Zambia,-15.3982,28.2937,5.11171794078478
Bolivia,-13.9908,-66.1936,4.98791673589957
Trinidad and Tobago,10.6596,-61.4789,4.87329434697856
American Samoa,-14.2846,-170.691,4.85
Georgia,41.71,44.793,4.48985465534609
Belize,17.2534,-88.7713,4.38404208680403
St. Lucia,14.0,-60.9832,4.37704918032787
Canada,45.4215,-75.6919,4.35320354546179
Angola,-8.81155,13.242,4.28972487366648
Chad,12.1048,15.0445,4.20902160101652
Fiji,-18.1149,178.399,4.20361247947455
Sao Tome and Principe,0.20618,6.6071,4.16666666666667
Ecuador,-0.229498,-78.5243,4.12304718956354
Australia,-35.282,149.129,4.0646020161154
Samoa,-13.8314,-171.752,4.06115107913669
South Sudan,4.85,31.6,3.789502001804
Turkmenistan,37.9509,58.3794,3.39539931479156
Peru,-12.0931,-77.0465,3.35179375
Costa Rica,9.63701,-84.0089,3.27327457892675
Algeria,36.7397,3.05097,3.16197401899452
"Egypt, Arab Rep.",30.0982,31.2461,3.09106434275956
"Venezuela, RB",9.08165,-69.8371,2.94767870302137
Central African Republic,5.63056,21.6407,2.88933834151979
"Micronesia, Fed. Sts.",6.91771,158.185,2.85714285714286
Marshall Islands,7.11046,171.135,2.77777777777778
Bahrain,26.1921,50.5354,2.65822784810127
Virgin Islands (U.S.),18.3358,-64.8963,2.57142857142857
Bhutan,27.5768,89.6177,2.54326166754064
Malaysia,3.12433,101.684,2.51197686805661
Kiribati,1.32905,172.979,2.46913580246914
New Zealand,-41.2865,174.776,2.33944779917208
Jordan,31.9497,35.9263,2.24339482397459
Norway,59.9138,10.7387,2.20715403409559
"Yemen, Rep.",15.352,44.2075,2.19330643786579
Colombia,4.60987,-74.082,2.1601922487607
Chile,-33.475,-70.6475,2.01809524430058
"Hong Kong SAR, China",22.3964,114.109,1.9047619047619
Equatorial Guinea,3.7523,8.7741,1.88948306595365
Guam,13.4443,144.794,1.85185185185185
Qatar,25.2948,51.5082,1.82767624020888
"Somalia, Fed. Rep.",2.07515,45.3254,1.75343513884018
Vanuatu,-17.7404,168.321,1.64068908941756
"Congo, Rep.",-4.2767,15.2662,1.61054172767204
Saudi Arabia,24.6748,46.6977,1.59577287888021
Andorra,42.5075,1.5218,1.59063829787234
Gabon,0.38832,9.45162,1.26130321729344
Iceland,64.1353,-21.8952,1.20003967073292
Turks and Caicos Islands,21.4602778,-71.141389,1.05263157894737
Libya,32.8578,13.1072,0.977528217602328
Namibia,-22.5648,17.0931,0.971711061715799
Cayman Islands,19.3022,-81.3857,0.833333333333333
Solomon Islands,-9.42676,159.949,0.821722043586995
"Bahamas, The",25.0661,-77.339,0.799200799200799
Singapore,1.28941,103.85,0.779944289693593
Brunei Darussalam,4.94199,114.946,0.759013282732448
Papua New Guinea,-9.47357,147.194,0.728702027116548
French Polynesia,-17.535,-149.57,0.720253529242293
Mongolia,47.9129,106.937,0.719629831519216
United Arab Emirates,24.4764,54.3705,0.708251196845959
Montenegro,42.4602,19.2595,0.661710037174721
Palau,7.34194,134.479,0.652173913043478
Guyana,6.80461,-58.1548,0.459410817467083
Botswana,-24.6544,25.9201,0.458772254865633
Kuwait,29.3721,47.9824,0.448933782267116
Mauritania,18.2367,-15.9824,0.436596487823809
Suriname,5.8232,-55.1679,0.361353583172785
New Caledonia,-22.2677,166.464,0.326586433260394
Seychelles,-4.6309,55.4466,0.326086956521739
Oman,23.6105,58.5874,0.241227786752827
Northern Mariana Islands,15.1935,145.765,0.173913043478261
Djibouti,11.5806,43.1425,0.129421915444349
Faroe Islands,61.8926,-6.91181,0.0510948905109489
