Loc,Lat,Lon,Internet users
Nepal,27.6939,85.3157,45.80680084
Mauritania,18.2367,-15.9824,44.95629883
Bangladesh,23.7055,90.4113,44.50274195
"Congo, Rep.",-4.2767,15.2662,43.15039825
Cameroon,3.8721,11.5174,42.24380112
Cote d'Ivoire,5.332,-4.0305,40.65284979
Nigeria,9.05804,7.48906,40.06399918
"Micronesia, Fed. Sts.",6.91771,158.185,39.39889908
Zimbabwe,-17.8312,31.0672,38.67480087
Angola,-8.81155,13.242,37.88589859
Togo,6.1228,1.2255,37.57020187
Mali,13.5667,-7.50034,36.03879929
Benin,6.4779,2.6323,32.39400101
Guinea,9.51667,-13.7,32.31560135
Kenya,-1.27975,36.8126,32.07040024
Comoros,-11.6986,43.2418,31.92749977
Liberia,6.30039,-10.7957,31.22410011
Rwanda,-1.95325,30.0587,28.80579948
Guinea-Bissau,11.8037,-15.1804,28.71240044
Solomon Islands,-9.42676,159.949,28.67239952
Tanzania,-6.17486,35.7382,28.43190002
"Somalia, Fed. Rep.",2.07515,45.3254,26.12010002
Burkina Faso,12.3605,-1.53395,25.36120033
Sierra Leone,8.4821,-13.2134,23.71360016
Ethiopia,9.02274,38.7468,20.33749962
Mozambique,-25.9664,32.5713,19.94560051
"Congo, Dem. Rep.",-4.325,15.3222,18.96789932
Papua New Guinea,-9.47357,147.194,18.56130028
Madagascar,-20.4667,45.7167,18.24080086
Malawi,-13.9899,33.7703,17.98810346
Zambia,-15.3982,28.2937,16.45070076
Afghanistan,34.5228,69.1761,15.92840004
Central African Republic,5.63056,21.6407,13.8416996
Niger,13.514,2.1073,12.98079967
Chad,12.1048,15.0445,12.03590012
Uganda,0.314269,32.5729,9.286999702
Burundi,-3.3784,29.3639,7.172299862
