Loc,Lat,Lon,School enrollment
Papua New Guinea,-9.47357,147.194,52.0929750873194
Angola,-8.81155,13.242,51.4839046246776
Guatemala,14.6248,-90.5328,47.3762534803949
Nigeria,9.05804,7.48906,46.8931503295898
Rwanda,-1.95325,30.0587,45.1251505756161
Cameroon,3.8721,11.5174,44.840795775403
Senegal,14.7247,-17.4734,44.0673682244069
Pakistan,30.5167,72.8,42.2911451386891
Syrian Arab Republic,33.5146,36.3119,39.4672088623047
Mali,13.5667,-7.50034,38.9389470920545
Malawi,-13.9899,33.7703,36.644092994481
Burkina Faso,12.3605,-1.53395,30.8551216331757
Chad,12.1048,15.0445,24.1941648001316
Niger,13.514,2.1073,21.5605140503495
"Somalia, Fed. Rep.",2.07515,45.3254,3.34785008430481
