Loc,Lat,Lon,Unemployment
Uganda,0.314269,32.5729,2.754
Poland,52.26,21.02,2.743
"Korea, Rep.",37.5323,126.957,2.675
Papua New Guinea,-9.47357,147.194,2.649
Guinea-Bissau,11.8037,-15.1804,2.632
Japan,35.67,139.77,2.6
Czechia,50.0878,14.4205,2.579
Guatemala,14.6248,-90.5328,2.344
Cote d'Ivoire,5.332,-4.0305,2.263
"Macao SAR, China",22.1667,113.55,2.206
Philippines,14.5515,121.035,2.2
United Arab Emirates,24.4764,54.3705,2.151
Kuwait,29.3721,47.9824,2.08
Togo,6.1228,1.2255,1.942
Cuba,23.1333,-82.3667,1.73
Tonga,-21.136,-175.216,1.652
Viet Nam,21.0069,105.825,1.645
Benin,6.4779,2.6323,1.641
Moldova,47.0167,28.8497,1.57
Tanzania,-6.17486,35.7382,1.565
Timor-Leste,-8.56667,125.567,1.525
Solomon Islands,-9.42676,159.949,1.443
Lao PDR,18.5826,102.177,1.186
Chad,12.1048,15.0445,1.059
Bahrain,26.1921,50.5354,1.049
Burundi,-3.3784,29.3639,0.911
Thailand,13.7308,100.521,0.733
Niger,13.514,2.1073,0.407
Cambodia,11.5556,104.874,0.256
Qatar,25.2948,51.5082,0.13
