Loc,Lat,Lon,Population density
"Yemen, Rep.",15.352,44.2075,74.60802507718242
North Macedonia,42.0024,21.4361,72.47486122125298
Ecuador,-0.229498,-78.5243,72.39524480592688
Eswatini,-26.5225,31.4659,71.54104651162791
Croatia,45.8069,15.9614,68.97223016440314
Mexico,19.427,-99.1276,66.74027572725636
Equatorial Guinea,3.7523,8.7741,65.86627450980392
Ukraine,50.4536,30.5038,65.12398343113566
Afghanistan,34.5228,69.1761,63.558500835594806
Bosnia and Herzegovina,43.8607,18.4214,62.20845703125
Panama,8.99427,-79.5188,60.107293070908604
Cameroon,3.8721,11.5174,60.021338664297346
Bulgaria,42.7105,23.3238,59.38279292557111
Guinea,9.51667,-13.7,58.62554126648217
Liberia,6.30039,-10.7957,57.02897632890365
Nicaragua,12.1475,-86.2734,56.702783779292005
"Iran, Islamic Rep.",35.6878,51.4447,55.845119876733435
Madagascar,-20.4667,45.7167,53.619683740116876
Georgia,41.71,44.793,53.46788027054252
South Africa,-25.746,28.1871,52.10856902620581
Fiji,-18.1149,178.399,50.58264915161467
Djibouti,11.5806,43.1425,49.738740293356344
Turks and Caicos Islands,21.4602778,-71.141389,48.629473684210524
Colombia,4.60987,-74.082,47.15741505182515
"Congo, Dem. Rep.",-4.325,15.3222,46.664048432985595
Montenegro,42.4602,19.2595,46.35903345724907
Lithuania,54.6896,25.2799,45.87196485623003
Belarus,53.9678,27.5766,45.21707729218703
Mozambique,-25.9664,32.5713,42.77214578193749
Zimbabwe,-17.8312,31.0672,42.24071862478997
"Bahamas, The",25.0661,-77.339,39.904095904095904
Faroe Islands,61.8926,-6.91181,39.706569343065695
Palau,7.34194,134.479,38.53695652173913
Kyrgyz Republic,42.8851,74.6057,37.01642335766423
United States,38.8895,-77.032,36.81421122021291
Lao PDR,18.5826,102.177,33.21054159445407
"Venezuela, RB",9.08165,-69.8371,32.08531715889122
Estonia,59.4392,24.7586,32.06847648022467
Latvia,56.9465,24.1048,30.27012694841716
Angola,-8.81155,13.242,29.477746049570868
"Somalia, Fed. Rep.",2.07515,45.3254,29.26421876494405
Eritrea,15.3315,38.9183,28.63873204916396
Solomon Islands,-9.42676,159.949,28.581814933904965
Zambia,-15.3982,28.2937,27.877648340709452
Sudan,15.5932,32.5363,26.789502676659527
Chile,-33.475,-70.6475,26.46472490051716
Peru,-12.0931,-77.0465,26.44188828125
Vanuatu,-17.7404,168.321,26.284577522559474
Sweden,59.3327,18.0645,25.871367888624253
Brazil,-15.7801,-47.9292,25.261688485715723
Papua New Guinea,-9.47357,147.194,22.94226692576072
Niger,13.514,2.1073,20.651983105707746
Bhutan,27.5768,89.6177,20.61837965390666
New Zealand,-41.2865,174.776,19.748585317686377
Mali,13.5667,-7.50034,19.479857235348593
Algeria,36.7397,3.05097,19.382560229076223
Uruguay,-34.8941,-56.0675,19.358250485658782
Finland,60.1608,24.9525,18.37054546650875
South Sudan,4.85,31.6,18.17190828098049
"Congo, Rep.",-4.2767,15.2662,18.105080527086383
Belize,17.2534,-88.7713,18.02306006137659
Paraguay,-25.3005,-57.6362,17.28267194307203
Argentina,-34.6118,-58.4173,16.63995593216623
Oman,23.6105,58.5874,16.314277867528272
New Caledonia,-22.2677,166.464,15.85722100656455
Saudi Arabia,24.6748,46.6977,15.677949378747634
Turkmenistan,37.9509,58.3794,15.671351052284383
Chad,12.1048,15.0445,15.34233163913596
Norway,59.9138,10.7387,15.152499519587119
Bolivia,-13.9908,-66.1936,11.302648389181206
Gabon,0.38832,9.45162,9.64329956921644
Russian Federation,55.7558,37.6176,8.782272192427492
Central African Republic,5.63056,21.6407,8.270604192750971
Kazakhstan,51.1879,71.4382,7.5305048709115825
Mauritania,18.2367,-15.9824,4.872844668671776
Canada,45.4215,-75.6919,4.556884180823102
Botswana,-24.6544,25.9201,4.376412048065216
Libya,32.8578,13.1072,4.1520278027211655
Suriname,5.8232,-55.1679,3.918107060468971
Guyana,6.80461,-58.1548,3.913768115942029
Iceland,64.1353,-21.8952,3.824883467222057
Namibia,-22.5648,17.0931,3.5990902355184686
Australia,-35.282,149.129,3.4659194853887536
Mongolia,47.9129,106.937,2.2336512531288855
Greenland,64.1836,-51.7214,0.1385430624923864
