Loc,Lat,Lon,Forest area
Iceland,64.1353,-21.8952,527
Sao Tome and Principe,0.20618,6.6071,507
Dominica,15.2976,-61.39,479
Cabo Verde,14.9218,-23.5087,463
"Egypt, Arab Rep.",30.0982,31.2461,450
Palau,7.34194,134.479,416
Mauritius,-20.1605,57.4977,388
Lesotho,-29.5208,27.7167,345
Seychelles,-4.6309,55.4466,337
Comoros,-11.6986,43.2418,320
St. Vincent and the Grenadines,13.2035,-61.2653,285
Guam,13.4443,144.794,280
Northern Mariana Islands,15.1935,145.765,244
St. Lucia,14.0,-60.9832,208
Virgin Islands (U.S.),18.3358,-64.8963,202
Grenada,12.0653,-61.7449,177
American Samoa,-14.2846,-170.691,171
Andorra,42.5075,1.5218,160
Singapore,1.28941,103.85,152
Cayman Islands,19.3022,-81.3857,126
St. Kitts and Nevis,17.3,-62.7309,110
Turks and Caicos Islands,21.4602778,-71.141389,105
West Bank and Gaza,31.9038,35.2034,101
Marshall Islands,7.11046,171.135,94
Tonga,-21.136,-175.216,90
Antigua and Barbuda,17.1175,-61.8456,80
Liechtenstein,47.1411,9.52148,67
Barbados,13.0935,-59.6105,63
Kuwait,29.3721,47.9824,62
Djibouti,11.5806,43.1425,60
British Virgin Islands,18.431389,-64.623056,36
Isle of Man,54.1509,-4.47928,35
Oman,23.6105,58.5874,24
Kiribati,1.32905,172.979,12
St. Martin (French part),18.0708,-63.0847,12
San Marino,43.9322,12.4486,10
Bermuda,32.3293,-64.706,10
Tuvalu,-8.6314877,179.089567,10
Maldives,4.1742,73.5109,8
Bahrain,26.1921,50.5354,7
Malta,35.9042,14.5189,5
Aruba,12.5167,-70.0167,4
Sint Maarten (Dutch part),18.0237,-63.0458,4
Greenland,64.1836,-51.7214,2
Curacao,12.108,-68.9335,1
Faroe Islands,61.8926,-6.91181,1
Monaco,43.7325,7.41891,0
Gibraltar,36.1408,-5.3536,0
Nauru,-0.5477,166.920867,0
Qatar,25.2948,51.5082,0
