Loc,Lat,Lon,Electricity access
Guyana,6.80461,-58.1548,93.0
Cambodia,11.5556,104.874,92.3
Fiji,-18.1149,178.399,92.0
Nepal,27.6939,85.3157,91.3
Comoros,-11.6986,43.2418,89.9
Syrian Arab Republic,33.5146,36.3119,89.0
South Africa,-25.746,28.1871,86.5
Nicaragua,12.1475,-86.2734,86.5
Afghanistan,34.5228,69.1761,85.3
"Micronesia, Fed. Sts.",6.91771,158.185,85.3
Ghana,5.57045,-0.20795,85.1
Eswatini,-26.5225,31.4659,82.3
Sao Tome and Principe,0.20618,6.6071,78.0
Kenya,-1.27975,36.8126,76.0
"Yemen, Rep.",15.352,44.2075,76.0
Solomon Islands,-9.42676,159.949,76.0
Botswana,-24.6544,25.9201,75.9
Myanmar,21.914,95.9562,73.6
Cote d'Ivoire,5.332,-4.0305,72.0
Vanuatu,-17.7404,168.321,71.6
Cameroon,3.8721,11.5174,71.0
Libya,32.8578,13.1072,70.0
Senegal,14.7247,-17.4734,67.9
Equatorial Guinea,3.7523,8.7741,67.0
"Gambia, The",13.4495,-16.5885,65.4
Djibouti,11.5806,43.1425,65.0
Sudan,15.5932,32.5363,63.2
Nigeria,9.05804,7.48906,60.5
Togo,6.1228,1.2255,57.2
Benin,6.4779,2.6323,56.5
Namibia,-22.5648,17.0931,56.2
Ethiopia,9.02274,38.7468,55.4
"Korea, Dem. People's Rep.",39.0319,125.754,54.7
Eritrea,15.3315,38.9183,53.4
Mali,13.5667,-7.50034,53.0
Rwanda,-1.95325,30.0587,50.6
"Congo, Rep.",-4.2767,15.2662,50.6
Zimbabwe,-17.8312,31.0672,50.1
Lesotho,-29.5208,27.7167,50.0
Haiti,18.5392,-72.3288,49.3
Mauritania,18.2367,-15.9824,49.0
"Somalia, Fed. Rep.",2.07515,45.3254,48.9
Angola,-8.81155,13.242,48.5
Zambia,-15.3982,28.2937,47.8
Guinea,9.51667,-13.7,47.7
Uganda,0.314269,32.5729,47.1
Tanzania,-6.17486,35.7382,45.8
Guinea-Bissau,11.8037,-15.1804,37.4
Madagascar,-20.4667,45.7167,36.1
Mozambique,-25.9664,32.5713,33.2
Liberia,6.30039,-10.7957,31.8
Sierra Leone,8.4821,-13.2134,29.4
"Congo, Dem. Rep.",-4.325,15.3222,21.5
Niger,13.514,2.1073,19.5
Burkina Faso,12.3605,-1.53395,19.5
Papua New Guinea,-9.47357,147.194,19.0
Central African Republic,5.63056,21.6407,15.7
Malawi,-13.9899,33.7703,14.0
Chad,12.1048,15.0445,11.7
Burundi,-3.3784,29.3639,10.3
South Sudan,4.85,31.6,8.4
