Loc,Lat,Lon,Inflation
"Korea, Rep.",37.5323,126.957,3.5974562502901
St. Kitts and Nevis,17.3,-62.7309,3.55711230848243
Cyprus,35.1676,33.3736,3.54134188751646
Spain,40.4167,-3.70327,3.53236133492433
Greece,37.9792,23.7166,3.46480128513405
Denmark,55.6763,12.5681,3.30517811237606
Japan,35.67,139.77,3.26813365933163
Viet Nam,21.0069,105.825,3.25289282667662
Barbados,13.0935,-59.6105,3.18718905472632
"Bahamas, The",25.0661,-77.339,3.05291578969743
Qatar,25.2948,51.5082,3.02764899198902
Central African Republic,5.63056,21.6407,2.97913852618937
Fiji,-18.1149,178.399,2.97544080604539
Maldives,4.1742,73.5109,2.90372427754586
Equatorial Guinea,3.7523,8.7741,2.85949506037322
Guyana,6.80461,-58.1548,2.82159393090811
Benin,6.4779,2.6323,2.73870078406075
Grenada,12.0653,-61.7449,2.69612269814564
Bolivia,-13.9908,-66.1936,2.57688800489192
Malaysia,3.12433,101.684,2.48886560125754
Georgia,41.71,44.793,2.48776056578715
South Sudan,4.85,31.6,2.38280434813754
Libya,32.8578,13.1072,2.3731753143518
Saudi Arabia,24.6748,46.6977,2.32708518362706
Papua New Guinea,-9.47357,147.194,2.29869991296791
Ecuador,-0.229498,-78.5243,2.21568764237058
Switzerland,46.948,7.44821,2.13540088016387
Cambodia,11.5556,104.874,2.12746796594194
"Hong Kong SAR, China",22.3964,114.109,2.09660511249089
Jordan,31.9497,35.9263,2.08486986327134
Mali,13.5667,-7.50034,2.05880228274223
Armenia,40.1596,44.509,1.98041877615554
United Arab Emirates,24.4764,54.3705,1.62670837213248
Panama,8.99427,-79.5188,1.48641355277038
Djibouti,11.5806,43.1425,1.44905087029086
Thailand,13.7308,100.521,1.22908986612448
Oman,23.6105,58.5874,0.950782997762827
Burkina Faso,12.3605,-1.53395,0.742910428668918
Costa Rica,9.63701,-84.0089,0.525193508693455
"Macao SAR, China",22.1667,113.55,0.476384495788075
Brunei Darussalam,4.94199,114.946,0.35706431153689
China,40.0495,116.286,0.234836828893051
Bahrain,26.1921,50.5354,0.0746206782192256
Seychelles,-4.6309,55.4466,-1.03530088431952
Afghanistan,34.5228,69.1761,-4.64470870797775
