Loc,Lat,Lon,Fertility rate
Slovenia,46.0546,14.5044,1.51
Turkiye,39.7153,32.3606,1.51
St. Kitts and Nevis,17.3,-62.7309,1.505
French Polynesia,-17.535,-149.57,1.501
Ireland,53.3441,-6.26749,1.5
Argentina,-34.6118,-58.4173,1.5
Denmark,55.6763,12.5681,1.5
North Macedonia,42.0024,21.4361,1.5
Australia,-35.282,149.129,1.499
Slovak Republic,48.1484,17.1073,1.49
Grenada,12.0653,-61.7449,1.487
Bosnia and Herzegovina,43.8607,18.4214,1.486
Dominica,15.2976,-61.39,1.484
Belgium,50.8371,4.36761,1.47
Turks and Caicos Islands,21.4602778,-71.141389,1.463
Bhutan,27.5768,89.6177,1.462
Croatia,45.8069,15.9614,1.46
Czechia,50.0878,14.4205,1.46
Liechtenstein,47.1411,9.52148,1.45
Portugal,38.7072,-9.13552,1.45
Sweden,59.3327,18.0645,1.45
Sint Maarten (Dutch part),18.0237,-63.0458,1.447
Cuba,23.1333,-82.3667,1.439
Netherlands,52.3738,4.89095,1.43
Russian Federation,55.7558,37.6176,1.41
Uruguay,-34.8941,-56.0675,1.409
Bermuda,32.3293,-64.706,1.401
Mauritius,-20.1605,57.4977,1.4
Norway,59.9138,10.7387,1.4
Germany,52.5235,13.4115,1.39
Cyprus,35.1676,33.3736,1.389
St. Lucia,14.0,-60.9832,1.379
"Bahamas, The",25.0661,-77.339,1.373
Channel Islands,49.4556,-2.5361,1.37
Latvia,56.9465,24.1048,1.36
Jamaica,17.9927,-76.792,1.358
Albania,41.3317,19.8172,1.348
Switzerland,46.948,7.44821,1.33
Costa Rica,9.63701,-84.0089,1.33
Austria,48.2201,16.3798,1.32
Estonia,59.4392,24.7586,1.31
Curacao,12.108,-68.9335,1.3
Canada,45.4215,-75.6919,1.27
Finland,60.1608,24.9525,1.26
Greece,37.9792,23.7166,1.26
Luxembourg,49.61,6.1296,1.25
Thailand,13.7308,100.521,1.212
Italy,41.8955,12.4823,1.21
Belarus,53.9678,27.5766,1.208
United Arab Emirates,24.4764,54.3705,1.2
Japan,35.67,139.77,1.2
Poland,52.26,21.02,1.2
Lithuania,54.6896,25.2799,1.18
Chile,-33.475,-70.6475,1.167
San Marino,43.9322,12.4486,1.149
Spain,40.4167,-3.70327,1.12
Andorra,42.5075,1.5218,1.082
Malta,35.9042,14.5189,1.06
British Virgin Islands,18.431389,-64.623056,1.045
China,40.0495,116.286,0.999
Ukraine,50.4536,30.5038,0.977
Singapore,1.28941,103.85,0.97
Puerto Rico (US),18.23,-66.0,0.92
"Hong Kong SAR, China",22.3964,114.109,0.751
"Korea, Rep.",37.5323,126.957,0.721
"Macao SAR, China",22.1667,113.55,0.586
