Loc,Lat,Lon,GDP
"Somalia, Fed. Rep.",2.07515,45.3254,10958000000
Mauritania,18.2367,-15.9824,10687541640
Kosovo,42.565,20.926,10466753840
Monaco,43.7325,7.41891,10003897341
New Caledonia,-22.2677,166.464,9769167530
Togo,6.1228,1.2255,9723300577
Bermuda,32.3293,-64.706,8602360000
Liechtenstein,47.1411,9.52148,8239379403
Montenegro,42.4602,19.2595,7643318276
Isle of Man,54.1509,-4.47928,7576129933
Cayman Islands,19.3022,-81.3857,7308564549
Barbados,13.0935,-59.6105,7223248150
Maldives,4.1742,73.5109,6621008704
Sierra Leone,8.4821,-13.2134,6415852766
French Polynesia,-17.535,-149.57,6137447783
Fiji,-18.1149,178.399,5476673518
Eswatini,-26.5225,31.4659,4621191262
Liberia,6.30039,-10.7957,4390000000
Faroe Islands,61.8926,-6.91181,3943131022
Djibouti,11.5806,43.1425,3898447007
Andorra,42.5075,1.5218,3785067332
Aruba,12.5167,-70.0167,3746573413
Suriname,5.8232,-55.1679,3472693412
Burundi,-3.3784,29.3639,3419558408
Greenland,64.1836,-51.7214,3326543974
Curacao,12.108,-68.9335,3281419330
Belize,17.2534,-88.7713,3052362650
Bhutan,27.5768,89.6177,3012896790
Central African Republic,5.63056,21.6407,2555492086
Cabo Verde,14.9218,-23.5087,2504525538
St. Lucia,14.0,-60.9832,2441259259
"Gambia, The",13.4495,-16.5885,2382262185
Seychelles,-4.6309,55.4466,2171547935
Lesotho,-29.5208,27.7167,2129871530
Timor-Leste,-8.56667,125.567,2079767200
Guinea-Bissau,11.8037,-15.1804,2076748678
Antigua and Barbuda,17.1175,-61.8456,2054096296
San Marino,43.9322,12.4486,2027243194
Sint Maarten (Dutch part),18.0237,-63.0458,1686525978
Turks and Caicos Islands,21.4602778,-71.141389,1638653000
Solomon Islands,-9.42676,159.949,1506124566
Comoros,-11.6986,43.2418,1465977684
Grenada,12.0653,-61.7449,1336418519
Vanuatu,-17.7404,168.321,1188137265
St. Vincent and the Grenadines,13.2035,-61.2653,1072237037
St. Kitts and Nevis,17.3,-62.7309,1055651852
Samoa,-13.8314,-171.752,1044909500
Sao Tome and Principe,0.20618,6.6071,690456807
Dominica,15.2976,-61.39,659311111
Tonga,-21.136,-175.216,591139734
"Micronesia, Fed. Sts.",6.91771,158.185,442975600
Kiribati,1.32905,172.979,291657338
Palau,7.34194,134.479,276157406
Marshall Islands,7.11046,171.135,264000000
Nauru,-0.5477,166.920867,161531317
Tuvalu,-8.6314877,179.089567,62280312
