Loc,Lat,Lon,Urban population
Trinidad and Tobago,10.6596,-61.4789,738367
"Macao SAR, China",22.1667,113.55,687000
Luxembourg,49.61,6.1296,642104
Fiji,-18.1149,178.399,548695
Malta,35.9042,14.5189,544128
Mauritius,-20.1605,57.4977,486056
Suriname,5.8232,-55.1679,417228
Montenegro,42.4602,19.2595,408672
Cabo Verde,14.9218,-23.5087,402959
Timor-Leste,-8.56667,125.567,401480
Iceland,64.1353,-21.8952,364019
Brunei Darussalam,4.94199,114.946,346570
Bhutan,27.5768,89.6177,336908
"Bahamas, The",25.0661,-77.339,326343
Eswatini,-26.5225,31.4659,326239
Comoros,-11.6986,43.2418,290660
Solomon Islands,-9.42676,159.949,251180
Maldives,4.1742,73.5109,221666
Guyana,6.80461,-58.1548,220053
New Caledonia,-22.2677,166.464,198853
Belize,17.2534,-88.7713,174141
French Polynesia,-17.535,-149.57,173929
Barbados,13.0935,-59.6105,168180
Sao Tome and Principe,0.20618,6.6071,162216
Guam,13.4443,144.794,158000
Curacao,12.108,-68.9335,142604
Virgin Islands (U.S.),18.3358,-64.8963,99504
Kiribati,1.32905,172.979,84023
Cayman Islands,19.3022,-81.3857,74457
Vanuatu,-17.7404,168.321,73051
Andorra,42.5075,1.5218,72831
Aruba,12.5167,-70.0167,66731
Bermuda,32.3293,-64.706,64636
Channel Islands,49.4556,-2.5361,54987
Seychelles,-4.6309,55.4466,54961
St. Lucia,14.0,-60.9832,52301
Greenland,64.1836,-51.7214,50197
Dominica,15.2976,-61.39,48690
St. Vincent and the Grenadines,13.2035,-61.2653,48143
Isle of Man,54.1509,-4.47928,43901
Turks and Caicos Islands,21.4602778,-71.141389,43821
Sint Maarten (Dutch part),18.0237,-63.0458,43350
Grenada,12.0653,-61.7449,42854
Northern Mariana Islands,15.1935,145.765,40769
Gibraltar,36.1408,-5.3536,39329
Monaco,43.7325,7.41891,38631
Samoa,-13.8314,-171.752,38160
American Samoa,-14.2846,-170.691,37854
San Marino,43.9322,12.4486,33011
Marshall Islands,7.11046,171.135,29563
St. Martin (French part),18.0708,-63.0847,26129
"Micronesia, Fed. Sts.",6.91771,158.185,25412
Antigua and Barbuda,17.1175,-61.8456,22872
British Virgin Islands,18.431389,-64.623056,22304
Tonga,-21.136,-175.216,22034
Faroe Islands,61.8926,-6.91181,21535
St. Kitts and Nevis,17.3,-62.7309,14894
Palau,7.34194,134.479,14016
Nauru,-0.5477,166.920867,11947
Tuvalu,-8.6314877,179.089567,6243
Liechtenstein,47.1411,9.52148,5929
